https://datacrystal.romhacking.net/wiki/Disney%27s_Aladdin:RAM_map

{{rammap|game=Disney's Aladdin}}

REG = Register mirror

 Address  Size   Description
 -------  -----  ------------
  7E0002  $0001  SFX sync
  7E0003  $0001  Control Type, possibly other uses
  7E0004  $0001  Sound setting, $80 = Stereo, $00 = Monaural
  7E0005  $0001  Unknown, ORA'd with options before stored in $06
  7E0006  $0001  Combined options

  7E0009  $0001  DEBUG MODE, set non-zero to enable
  7E000B  $0001  No-pause timer, set to 16 frames when unpausing
  7E000C  $0004  Variable use, often indirect address

  7E004D  $0001  Current Sprite Stun Timer
  7E004E  $0001  Index for story time tilemap
  7E0050  $0002  Pointer for story time
  7E0052  $0001  Story time timer

  7E0065  $0003  Variable use, often indirect address

  7E00A5  $0001  Password menu cursor
  7E00A6  $0001  Password menu 4th slot
  7E00A7  $0001  Password menu 3rd slot
  7E00A8  $0001  Password menu 2nd slot
  7E00A9  $0001  Password menu 1st slot

  7E0327  $0001  Index to DP RAM
  7E0328  $0001  Stored to $0329, always $08
  7E0329  $0001  Loop counter
  7E032A  $0001  NMI flag, cleared in the idle loop @ $81BC6D
  7E032B  $0001  RNG seed 1
  7E032C  $0001  RNG seed 2
  7E032D  $0001  Render counter, does not include lag frames
  7E032E  $0001  Frame counter, every frame/NMI
  7E032F  $0001  Inc'd from $00 to $23, then reset @ $8394A4
  7E0330  $0001  Dec'd from $23 to $00, then reset @ $8394A4
  7E0331  $0001  Related to inputs, $02 = demo playback

  7E033B  $0002  Index to demo input data
  7E033D  $0001  Demo input, $80 = Jump, $40 = Dash, $02 = Left, $01 = Right
  7E033E  $0001  Demo input timer
  7E033F  $0001  Index to demo, $00 and $01 are actual demos, other scripted inputs beyond that
  7E0340  $0001  UNUSED?
  7E0341  $0002  Demo exit timer
  7E0343  $0002  Time until demo starts, demo exit timer if secret credits

  7E0347  $0001  Invulnerability state, $80 at level clear, $7F at secret credits, $04 = iframes, $02 = knockback
  7E0348  $0002  Jump input mask
  7E034A  $0002  Dash input mask
  7E034C  $0002  Throw input mask
  7E034E  $0002  Hover input mask

  7E0359  $0001  Cleared at title menu and every level load
  7E035A  $0001  Chests opened
  7E035B  $0001  Credits (continues), stored as decimal
  7E035C  $0001  Current stage
